,US Dollar Index
2012-07-08 00:00:00+00:00,93.7087
2012-07-15 00:00:00+00:00,93.5515
2012-07-22 00:00:00+00:00,93.3653
2012-07-29 00:00:00+00:00,92.9333
2012-08-05 00:00:00+00:00,92.6048
2012-08-12 00:00:00+00:00,92.5129
2012-08-19 00:00:00+00:00,92.711
2012-08-26 00:00:00+00:00,92.2785
2012-09-02 00:00:00+00:00,92.1677
2012-09-09 00:00:00+00:00,91.3469
2012-09-16 00:00:00+00:00,90.1436
2012-09-23 00:00:00+00:00,90.5342
2012-09-30 00:00:00+00:00,90.8342
2012-10-07 00:00:00+00:00,90.2851
2012-10-14 00:00:00+00:00,90.6833
2012-10-21 00:00:00+00:00,90.8107
2012-10-28 00:00:00+00:00,91.1411
2012-11-04 00:00:00+00:00,91.281
2012-11-11 00:00:00+00:00,91.6871
2012-11-18 00:00:00+00:00,92.0095
2012-11-25 00:00:00+00:00,91.2616
2012-12-02 00:00:00+00:00,91.1038
2012-12-09 00:00:00+00:00,91.0437
2012-12-16 00:00:00+00:00,90.7156
2012-12-23 00:00:00+00:00,90.9597
2012-12-30 00:00:00+00:00,91.0419
2013-01-06 00:00:00+00:00,91.1025
2013-01-13 00:00:00+00:00,90.5352
2013-01-20 00:00:00+00:00,90.8697
2013-01-27 00:00:00+00:00,91.0868
2013-02-03 00:00:00+00:00,90.6923
2013-02-10 00:00:00+00:00,91.3056
2013-02-17 00:00:00+00:00,91.4551
2013-02-24 00:00:00+00:00,92.1197
2013-03-03 00:00:00+00:00,92.6177
2013-03-10 00:00:00+00:00,92.6252
2013-03-17 00:00:00+00:00,92.128
2013-03-24 00:00:00+00:00,92.2051
2013-03-31 00:00:00+00:00,92.302
2013-04-07 00:00:00+00:00,92.1043
2013-04-14 00:00:00+00:00,91.7967
2013-04-21 00:00:00+00:00,92.2166
2013-04-28 00:00:00+00:00,91.9012
2013-05-05 00:00:00+00:00,91.5087
2013-05-12 00:00:00+00:00,92.2527
2013-05-19 00:00:00+00:00,93.1617
2013-05-26 00:00:00+00:00,93.2768
2013-06-02 00:00:00+00:00,93.6076
2013-06-09 00:00:00+00:00,92.6056
2013-06-16 00:00:00+00:00,92.1886
2013-06-23 00:00:00+00:00,94.4243
2013-06-30 00:00:00+00:00,94.3047
2013-07-07 00:00:00+00:00,95.0639
