,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2004-09-12,4.19,2.5,1.48,1.6,1.66,3.4,4.97,5.05,5.22,5.83,1.74,2.5300000000000002,1.6900000000000004,2.4699999999999998,0.7900000000000005,0.8599999999999994,1.6100000000000003,45.85300064086914,33.886558532714844,78.54742431640625
2004-09-19,4.14,2.53,1.58,1.58,1.71,3.35,4.91,4.99,5.13,5.75,1.6400000000000001,2.4299999999999997,1.6099999999999999,2.3800000000000003,0.7899999999999996,0.8500000000000005,1.67,45.85300064086914,33.886558532714844,78.93714904785156
2004-09-26,4.04,2.62,1.76,1.53,1.73,3.33,4.78,4.87,5.1,5.7,1.6,2.31,1.42,2.16,0.71,0.8300000000000001,1.6800000000000006,45.85300064086914,33.886558532714844,77.75814056396484
2004-10-03,4.21,2.63,1.86,1.52,1.71,3.44,4.95,5.06,5.12,5.72,1.73,2.5,1.58,2.3200000000000003,0.77,0.8499999999999996,1.58,45.85300064086914,33.886558532714844,79.28600311279297
2004-10-10,4.15,2.61,1.71,1.56,1.71,3.39,4.91,4.98,5.24,5.82,1.6800000000000002,2.4400000000000004,1.5400000000000005,2.3000000000000003,0.7600000000000002,0.8300000000000001,1.5600000000000005,45.85300064086914,33.886558532714844,78.49066162109375
2004-10-17,4.07,2.53,1.79,1.59,1.76,3.31,4.84,4.92,5.14,5.74,1.55,2.3100000000000005,1.5400000000000005,2.31,0.7600000000000002,0.8499999999999996,1.71,45.85300064086914,33.886558532714844,77.6186294555664
2004-10-24,4.0,2.55,1.72,1.65,1.85,3.26,4.75,4.87,5.07,5.69,1.4099999999999997,2.15,1.4500000000000002,2.2,0.7400000000000002,0.8700000000000001,1.6800000000000006,45.85300064086914,33.886558532714844,76.73263549804688
2004-10-31,4.05,2.56,1.79,1.73,1.91,3.3,4.79,4.87,5.01,5.64,1.39,2.1399999999999997,1.4899999999999998,2.23,0.75,0.8200000000000003,1.5499999999999998,45.85300064086914,33.886558532714844,78.97201538085938
2004-11-07,4.21,2.8,1.76,1.86,2.03,3.51,4.92,4.99,5.08,5.7,1.48,2.18,1.4100000000000001,2.12,0.7000000000000002,0.7800000000000002,1.6000000000000005,45.85300064086914,33.886558532714844,81.81836700439453
2004-11-14,4.2,2.86,2.02,1.91,2.08,3.53,4.91,4.96,5.16,5.76,1.4499999999999997,2.12,1.3400000000000003,2.0500000000000003,0.6700000000000004,0.7599999999999998,1.6000000000000005,45.85300064086914,33.886558532714844,82.87179565429688
2004-11-21,4.2,2.95,1.99,1.98,2.15,3.57,4.89,4.93,5.15,5.74,1.42,2.0500000000000003,1.25,1.9399999999999995,0.6300000000000003,0.7299999999999995,1.62,45.85300064086914,33.886558532714844,82.15882873535156
2004-11-28,4.24,3.03,2.01,2.01,2.21,3.64,4.9,4.94,5.15,5.72,1.4300000000000002,2.0300000000000002,1.2100000000000004,1.8700000000000006,0.6000000000000001,0.7000000000000002,1.5199999999999996,45.85300064086914,33.886558532714844,82.80952453613281
2004-12-05,4.27,2.94,1.98,2.06,2.21,3.61,4.95,4.99,5.23,5.81,1.4,2.0599999999999996,1.3299999999999996,2.0100000000000002,0.6599999999999997,0.7200000000000006,1.4099999999999993,45.85300064086914,33.886558532714844,83.43923950195312
2004-12-12,4.16,2.95,2.09,2.07,2.25,3.52,4.83,4.87,5.14,5.71,1.27,1.9100000000000001,1.21,1.88,0.6400000000000001,0.71,1.5199999999999996,45.85300064086914,33.886558532714844,83.4952392578125
2004-12-19,4.21,3.03,2.23,1.95,2.2,3.59,4.85,4.89,5.11,5.68,1.3899999999999997,2.01,1.1800000000000002,1.8199999999999998,0.6200000000000001,0.6799999999999997,1.4899999999999993,45.85300064086914,33.886558532714844,83.96697998046875
2004-12-26,4.23,3.02,2.27,1.83,2.19,3.58,4.86,4.9,5.18,5.75,1.3900000000000001,2.0400000000000005,1.2100000000000004,1.8400000000000003,0.6500000000000004,0.6699999999999999,1.54,45.85300064086914,33.886558532714844,84.90199279785156
2005-01-02,4.24,3.08,1.97,1.89,2.22,3.63,4.85,4.86,5.23,5.81,1.4099999999999997,2.02,1.1600000000000001,1.7699999999999996,0.6100000000000003,0.6200000000000001,1.4799999999999995,45.85300064086914,33.886558532714844,84.97229766845703
2005-01-09,4.29,3.2,2.24,2.03,2.32,3.73,4.88,4.88,5.21,5.77,1.4100000000000001,1.9700000000000002,1.0899999999999999,1.6799999999999997,0.56,0.5899999999999999,1.4799999999999995,45.85300064086914,33.886558532714844,83.26395416259766
2005-01-16,4.23,3.24,2.29,2.06,2.37,3.71,4.76,4.78,5.19,5.74,1.3399999999999999,1.8600000000000003,0.9900000000000002,1.5199999999999996,0.5200000000000005,0.5499999999999998,1.54,45.85300064086914,33.886558532714844,83.1233901977539
